id,type,pd,qd,bs,area,vmag,vang,degree
634,1,16,8,10,6,0.985,13.82,2
635,1,53,22,10,6,0.987,15.67,3
636,2,28,10,10,6,1.005,18.49,3
637,1,34,0,0,6,1.017,20.73,3
638,1,20,11,15,6,1.021,19.93,2
639,2,87,30,0,6,1.025,20.94,12
640,1,17,4,0,6,1.001,18.9,2
641,1,17,8,0,6,0.967,16.28,3
642,1,18,5,0,6,0.957,15.32,2
643,1,23,11,0,6,0.946,14.35,2
644,2,113,32,0,6,0.955,15.26,6
645,2,63,22,0,6,0.952,14.97,3
646,2,84,18,0,6,0.954,15.16,6
647,1,12,3,0,6,0.971,16.36,2
648,1,12,3,0,6,0.959,15.51,2
649,2,277,113,0,6,0.985,19.37,7
650,1,78,3,0,6,0.993,23.15,3
651,2,0,0,0,6,0.995,24.04,4
652,2,77,14,0,6,0.998,23.43,4
653,1,0,0,0,6,0.969,22.75,2
654,1,0,0,0,6,0.984,24.52,3
655,2,0,0,0,6,1.005,27.65,4
656,2,39,18,0,6,1.05,27.48,5
657,1,28,7,0,6,1.02,24.84,2
658,1,0,0,0,6,1.003,27.55,4
659,2,0,0,0,6,1.035,30.0,9
660,2,66,20,0,6,0.984,22.58,5
661,1,0,0,0,6,0.987,22.15,3
662,2,12,0,0,6,0.98,20.98,2
663,2,6,0,0,6,0.991,21.94,1
664,2,68,27,12,6,0.958,21.64,2
665,1,47,11,0,6,0.967,22.91,5
666,2,68,36,0,6,0.943,21.77,2
667,2,61,28,0,6,1.006,26.72,7
668,1,71,26,0,6,1.003,26.42,2
669,1,39,32,20,6,1.009,26.72,2
670,2,130,26,0,6,1.04,28.96,8
671,1,0,0,0,6,0.997,28.1,2
672,1,54,27,20,6,0.989,27.24,3
673,1,20,10,10,6,0.985,28.42,3
674,1,11,7,0,6,0.98,30.95,2
675,2,24,15,0,6,0.985,32.51,5
676,1,21,10,0,6,0.987,31.14,2
677,2,0,0,0,6,1.015,31.4,1
678,1,48,10,0,6,0.987,35.64,2
679,2,0,0,0,6,1.005,39.69,6
680,2,163,42,0,6,0.985,33.29,3
681,2,10,0,0,6,0.98,33.31,2
682,2,65,10,0,6,0.993,33.8,7
683,1,12,7,0,6,0.987,30.79,2
684,1,30,16,0,6,0.991,28.64,5
685,1,42,31,0,6,0.981,27.67,2
686,1,38,15,0,6,0.993,27.51,5
687,1,15,9,0,6,1.011,27.88,2
688,1,34,8,0,6,1.024,27.4,2
689,2,42,0,0,6,1.01,27.04,2
690,2,37,18,0,6,1.017,28.03,8
691,1,22,15,0,6,0.993,29.61,2
692,1,5,3,0,6,0.991,32.3,2
693,2,23,16,0,6,1.001,24.44,4
694,2,38,25,0,6,0.971,21.69,3
695,2,31,26,20,6,0.965,20.57,5
696,1,43,16,0,6,0.962,20.32,3
697,2,50,12,6,6,0.952,17.53,2
698,1,2,1,0,6,0.967,19.38,2
699,1,8,3,0,6,0.967,18.93,2
700,2,39,30,6,6,0.973,18.09,4
701,2,0,0,0,6,0.98,19.74,1
702,2,68,13,0,6,0.975,14.99,1
703,2,6,0,0,6,0.993,13.74,2
704,1,8,3,0,6,0.96,14.46,2
705,1,22,7,0,6,0.96,14.46,2
706,2,184,0,0,6,1.005,27.12,1
707,1,20,8,0,6,0.974,10.67,1
708,1,33,15,0,6,0.949,21.92,2
709,2,51,27,0,7,0.955,10.67,2
710,1,20,9,0,7,0.971,11.22,2
711,1,39,10,0,7,0.968,11.56,3
712,2,39,12,0,7,0.998,15.28,2
713,1,0,0,-40,7,1.002,15.73,5
714,2,52,22,0,7,0.99,13.0,2
715,1,19,2,0,7,0.989,12.56,2
716,2,28,0,0,7,1.015,20.77,3
717,1,0,0,0,7,1.043,28.02,2
718,2,0,0,0,7,1.05,35.61,1
719,1,70,23,0,7,0.985,12.72,4
720,2,47,10,0,7,0.99,12.2,7
721,1,34,16,0,7,0.968,11.35,2
722,1,14,1,0,7,0.984,11.5,2
723,2,90,30,0,7,0.97,11.23,5
724,1,25,10,0,7,0.984,11.91,2
725,1,11,3,0,7,0.995,13.74,6
726,2,60,34,0,7,0.973,11.53,2
727,2,45,25,0,7,0.963,11.05,4
728,1,18,3,0,7,0.958,11.93,2
729,1,14,8,0,7,0.959,13.52,2
730,1,10,5,0,7,0.97,16.08,2
731,1,7,3,0,7,1.0,21.0,4
732,2,13,0,0,7,0.992,20.89,3
733,2,0,0,0,7,1.05,27.93,3
734,2,0,0,0,7,1.015,29.71,2
735,2,71,13,0,7,0.968,15.35,4
736,1,17,7,0,7,0.962,13.62,2
737,1,24,4,0,7,0.963,12.63,2
738,1,0,0,0,7,0.968,18.79,4
739,2,43,27,0,7,0.967,12.75,3
740,2,59,23,0,7,0.964,14.8,5
741,1,23,9,0,7,0.972,10.63,2
742,2,59,26,14,7,0.986,11.3,4
743,1,33,9,0,7,0.981,10.87,2
744,2,31,17,0,7,0.98,10.87,2
745,1,0,0,-25,7,0.992,11.77,6
746,1,0,0,0,7,0.962,16.91,3
747,1,27,11,0,7,0.97,8.41,2
748,2,66,23,0,7,0.97,7.35,4
749,1,37,10,0,7,0.967,6.92,2
750,2,96,23,0,7,0.985,8.53,4
751,1,18,7,0,7,0.978,11.28,2
752,1,16,8,10,7,0.985,13.82,2
753,1,53,22,10,7,0.987,15.67,3
754,2,28,10,10,7,1.005,18.49,3
755,1,34,0,0,7,1.017,20.73,3
756,1,20,11,15,7,1.021,19.93,2
757,2,87,30,0,7,1.025,20.94,12
758,1,17,4,0,7,1.001,18.9,2
759,1,17,8,0,7,0.967,16.28,3
760,1,18,5,0,7,0.957,15.32,2
761,1,23,11,0,7,0.946,14.35,2
762,2,113,32,0,7,0.955,15.26,6
763,2,63,22,0,7,0.952,14.97,3
764,2,84,18,0,7,0.954,15.16,6
765,1,12,3,0,7,0.971,16.36,2
766,1,12,3,0,7,0.959,15.51,2
767,2,277,113,0,7,0.985,19.37,7
768,1,78,3,0,7,0.993,23.15,3
769,2,0,0,0,7,0.995,24.04,4
770,2,77,14,0,7,0.998,23.43,4
771,1,0,0,0,7,0.969,22.75,2
772,1,0,0,0,7,0.984,24.52,3
773,2,0,0,0,7,1.005,27.65,4
774,2,39,18,0,7,1.05,27.48,5
775,1,28,7,0,7,1.02,24.84,2
776,1,0,0,0,7,1.003,27.55,4
777,2,0,0,0,7,1.035,30.0,8
778,2,66,20,0,7,0.984,22.58,5
779,1,0,0,0,7,0.987,22.15,3
780,2,12,0,0,7,0.98,20.98,2
781,2,6,0,0,7,0.991,21.94,1
782,2,68,27,12,7,0.958,21.64,2
783,1,47,11,0,7,0.967,22.91,5
784,2,68,36,0,7,0.943,21.77,2
785,2,61,28,0,7,1.006,26.72,7
786,1,71,26,0,7,1.003,26.42,2
787,1,39,32,20,7,1.009,26.72,2
788,2,130,26,0,7,1.04,28.96,8
789,1,0,0,0,7,0.997,28.1,2
790,1,54,27,20,7,0.989,27.24,3
791,1,20,10,10,7,0.985,28.42,3
792,1,11,7,0,7,0.98,30.95,2
793,2,24,15,0,7,0.985,32.51,5
794,1,21,10,0,7,0.987,31.14,2
795,2,0,0,0,7,1.015,31.4,1
796,1,48,10,0,7,0.987,35.64,2
797,2,0,0,0,7,1.005,39.69,6
798,2,163,42,0,7,0.985,33.29,3
799,2,10,0,0,7,0.98,33.31,2
800,2,65,10,0,7,0.993,33.8,7
801,1,12,7,0,7,0.987,30.79,2
802,1,30,16,0,7,0.991,28.64,5
803,1,42,31,0,7,0.981,27.67,2
804,1,38,15,0,7,0.993,27.51,5
805,1,15,9,0,7,1.011,27.88,2
806,1,34,8,0,7,1.024,27.4,2
807,2,42,0,0,7,1.01,27.04,2
808,2,37,18,0,7,1.017,28.03,8
809,1,22,15,0,7,0.993,29.61,2
810,1,5,3,0,7,0.991,32.3,2
811,2,23,16,0,7,1.001,24.44,4
812,2,38,25,0,7,0.971,21.69,3
813,2,31,26,20,7,0.965,20.57,5
814,1,43,16,0,7,0.962,20.32,3
815,2,50,12,6,7,0.952,17.53,2
816,1,2,1,0,7,0.967,19.38,2
817,1,8,3,0,7,0.967,18.93,2
818,2,39,30,6,7,0.973,18.09,4
819,2,0,0,0,7,0.98,19.74,1
820,2,68,13,0,7,0.975,14.99,1
821,2,6,0,0,7,0.993,13.74,2
822,1,8,3,0,7,0.96,14.46,2
823,1,22,7,0,7,0.96,14.46,2
824,2,184,0,0,7,1.005,27.12,1
825,1,20,8,0,7,0.974,10.67,1
826,1,33,15,0,7,0.949,21.92,2
827,2,51,27,0,8,0.955,10.67,2
828,1,20,9,0,8,0.971,11.22,2
829,1,39,10,0,8,0.968,11.56,3
830,2,39,12,0,8,0.998,15.28,2
831,1,0,0,-40,8,1.002,15.73,5
832,2,52,22,0,8,0.99,13.0,2
833,1,19,2,0,8,0.989,12.56,2
834,2,28,0,0,8,1.015,20.77,3
835,1,0,0,0,8,1.043,28.02,2
836,2,0,0,0,8,1.05,35.61,1
837,1,70,23,0,8,0.985,12.72,4
838,2,47,10,0,8,0.99,12.2,7
839,1,34,16,0,8,0.968,11.35,2
840,1,14,1,0,8,0.984,11.5,2
841,2,90,30,0,8,0.97,11.23,5
842,1,25,10,0,8,0.984,11.91,2
843,1,11,3,0,8,0.995,13.74,6
844,2,60,34,0,8,0.973,11.53,2
845,2,45,25,0,8,0.963,11.05,4
846,1,18,3,0,8,0.958,11.93,2
847,1,14,8,0,8,0.959,13.52,2
848,1,10,5,0,8,0.97,16.08,2
849,1,7,3,0,8,1.0,21.0,4
850,2,13,0,0,8,0.992,20.89,3
851,2,0,0,0,8,1.05,27.93,3
852,2,0,0,0,8,1.015,29.71,2
853,2,71,13,0,8,0.968,15.35,4
854,1,17,7,0,8,0.962,13.62,2
855,1,24,4,0,8,0.963,12.63,2
856,1,0,0,0,8,0.968,18.79,4
857,2,43,27,0,8,0.967,12.75,3
858,2,59,23,0,8,0.964,14.8,5
859,1,23,9,0,8,0.972,10.63,2
860,2,59,26,14,8,0.986,11.3,4
861,1,33,9,0,8,0.981,10.87,2
862,2,31,17,0,8,0.98,10.87,2
863,1,0,0,-25,8,0.992,11.77,6
864,1,0,0,0,8,0.962,16.91,3
865,1,27,11,0,8,0.97,8.41,2
866,2,66,23,0,8,0.97,7.35,4
867,1,37,10,0,8,0.967,6.92,2
868,2,96,23,0,8,0.985,8.53,4
869,1,18,7,0,8,0.978,11.28,2
870,1,16,8,10,8,0.985,13.82,2
871,1,53,22,10,8,0.987,15.67,3
872,2,28,10,10,8,1.005,18.49,3
873,1,34,0,0,8,1.017,20.73,3
874,1,20,11,15,8,1.021,19.93,2
875,2,87,30,0,8,1.025,20.94,12
876,1,17,4,0,8,1.001,18.9,2
877,1,17,8,0,8,0.967,16.28,3
878,1,18,5,0,8,0.957,15.32,2
879,1,23,11,0,8,0.946,14.35,2
880,2,113,32,0,8,0.955,15.26,6
881,2,63,22,0,8,0.952,14.97,3
882,2,84,18,0,8,0.954,15.16,6
883,1,12,3,0,8,0.971,16.36,2
884,1,12,3,0,8,0.959,15.51,2
885,2,277,113,0,8,0.985,19.37,7
886,1,78,3,0,8,0.993,23.15,3
887,2,0,0,0,8,0.995,24.04,4
888,2,77,14,0,8,0.998,23.43,4
889,1,0,0,0,8,0.969,22.75,2
890,1,0,0,0,8,0.984,24.52,3
891,2,0,0,0,8,1.005,27.65,4
892,2,39,18,0,8,1.05,27.48,5
893,1,28,7,0,8,1.02,24.84,2
894,1,0,0,0,8,1.003,27.55,4
895,2,0,0,0,8,1.035,30.0,9
896,2,66,20,0,8,0.984,22.58,5
897,1,0,0,0,8,0.987,22.15,3
898,2,12,0,0,8,0.98,20.98,2
899,2,6,0,0,8,0.991,21.94,1
900,2,68,27,12,8,0.958,21.64,2
901,1,47,11,0,8,0.967,22.91,5
902,2,68,36,0,8,0.943,21.77,2
903,2,61,28,0,8,1.006,26.72,7
904,1,71,26,0,8,1.003,26.42,2
905,1,39,32,20,8,1.009,26.72,2
906,2,130,26,0,8,1.04,28.96,8
907,1,0,0,0,8,0.997,28.1,2
908,1,54,27,20,8,0.989,27.24,3
909,1,20,10,10,8,0.985,28.42,3
910,1,11,7,0,8,0.98,30.95,2
911,2,24,15,0,8,0.985,32.51,5
912,1,21,10,0,8,0.987,31.14,2
913,2,0,0,0,8,1.015,31.4,1
914,1,48,10,0,8,0.987,35.64,2
915,2,0,0,0,8,1.005,39.69,6
916,2,163,42,0,8,0.985,33.29,3
917,2,10,0,0,8,0.98,33.31,2
918,2,65,10,0,8,0.993,33.8,7
919,1,12,7,0,8,0.987,30.79,2
920,1,30,16,0,8,0.991,28.64,5
921,1,42,31,0,8,0.981,27.67,2
922,1,38,15,0,8,0.993,27.51,5
923,1,15,9,0,8,1.011,27.88,2
924,1,34,8,0,8,1.024,27.4,2
925,2,42,0,0,8,1.01,27.04,2
926,2,37,18,0,8,1.017,28.03,8
927,1,22,15,0,8,0.993,29.61,2
928,1,5,3,0,8,0.991,32.3,2
929,2,23,16,0,8,1.001,24.44,4
930,2,38,25,0,8,0.971,21.69,3
931,2,31,26,20,8,0.965,20.57,5
932,1,43,16,0,8,0.962,20.32,3
933,2,50,12,6,8,0.952,17.53,2
934,1,2,1,0,8,0.967,19.38,2
935,1,8,3,0,8,0.967,18.93,2
936,2,39,30,6,8,0.973,18.09,4
937,2,0,0,0,8,0.98,19.74,1
938,2,68,13,0,8,0.975,14.99,1
939,2,6,0,0,8,0.993,13.74,2
940,1,8,3,0,8,0.96,14.46,2
941,1,22,7,0,8,0.96,14.46,2
942,2,184,0,0,8,1.005,27.12,1
943,1,20,8,0,8,0.974,10.67,1
944,1,33,15,0,8,0.949,21.92,2
945,2,51,27,0,9,0.955,10.67,2
946,1,20,9,0,9,0.971,11.22,2
947,1,39,10,0,9,0.968,11.56,3
948,2,39,12,0,9,0.998,15.28,2
949,1,0,0,-40,9,1.002,15.73,5
950,2,52,22,0,9,0.99,13.0,2
951,1,19,2,0,9,0.989,12.56,2
952,2,28,0,0,9,1.015,20.77,3
953,1,0,0,0,9,1.043,28.02,2
954,2,0,0,0,9,1.05,35.61,1
955,1,70,23,0,9,0.985,12.72,4
956,2,47,10,0,9,0.99,12.2,7
957,1,34,16,0,9,0.968,11.35,2
958,1,14,1,0,9,0.984,11.5,2
959,2,90,30,0,9,0.97,11.23,5
960,1,25,10,0,9,0.984,11.91,2
961,1,11,3,0,9,0.995,13.74,6
962,2,60,34,0,9,0.973,11.53,2
963,2,45,25,0,9,0.963,11.05,4
964,1,18,3,0,9,0.958,11.93,2
965,1,14,8,0,9,0.959,13.52,2
966,1,10,5,0,9,0.97,16.08,2
967,1,7,3,0,9,1.0,21.0,4
968,2,13,0,0,9,0.992,20.89,3
969,2,0,0,0,9,1.05,27.93,3
970,2,0,0,0,9,1.015,29.71,2
971,2,71,13,0,9,0.968,15.35,4
972,1,17,7,0,9,0.962,13.62,2
973,1,24,4,0,9,0.963,12.63,2
974,1,0,0,0,9,0.968,18.79,4
975,2,43,27,0,9,0.967,12.75,3
976,2,59,23,0,9,0.964,14.8,5
977,1,23,9,0,9,0.972,10.63,2
978,2,59,26,14,9,0.986,11.3,4
979,1,33,9,0,9,0.981,10.87,2
980,2,31,17,0,9,0.98,10.87,2
981,1,0,0,-25,9,0.992,11.77,6
982,1,0,0,0,9,0.962,16.91,3
983,1,27,11,0,9,0.97,8.41,2
984,2,66,23,0,9,0.97,7.35,4
985,1,37,10,0,9,0.967,6.92,2
986,2,96,23,0,9,0.985,8.53,4
987,1,18,7,0,9,0.978,11.28,2
988,1,16,8,10,9,0.985,13.82,2
989,1,53,22,10,9,0.987,15.67,3
990,2,28,10,10,9,1.005,18.49,3
991,1,34,0,0,9,1.017,20.73,3
992,1,20,11,15,9,1.021,19.93,2
993,2,87,30,0,9,1.025,20.94,12
994,1,17,4,0,9,1.001,18.9,2
995,1,17,8,0,9,0.967,16.28,3
996,1,18,5,0,9,0.957,15.32,2
997,1,23,11,0,9,0.946,14.35,2
998,2,113,32,0,9,0.955,15.26,6
999,2,63,22,0,9,0.952,14.97,3
1000,2,84,18,0,9,0.954,15.16,6
1001,1,12,3,0,9,0.971,16.36,2
1002,1,12,3,0,9,0.959,15.51,2
1003,2,277,113,0,9,0.985,19.37,7
1004,1,78,3,0,9,0.993,23.15,3
1005,2,0,0,0,9,0.995,24.04,4
1006,2,77,14,0,9,0.998,23.43,4
1007,1,0,0,0,9,0.969,22.75,2
1008,1,0,0,0,9,0.984,24.52,3
1009,2,0,0,0,9,1.005,27.65,4
1010,2,39,18,0,9,1.05,27.48,5
1011,1,28,7,0,9,1.02,24.84,2
1012,1,0,0,0,9,1.003,27.55,4
1013,2,0,0,0,9,1.035,30.0,8
1014,2,66,20,0,9,0.984,22.58,5
1015,1,0,0,0,9,0.987,22.15,3
1016,2,12,0,0,9,0.98,20.98,2
1017,2,6,0,0,9,0.991,21.94,1
1018,2,68,27,12,9,0.958,21.64,2
1019,1,47,11,0,9,0.967,22.91,5
1020,2,68,36,0,9,0.943,21.77,2
1021,2,61,28,0,9,1.006,26.72,7
1022,1,71,26,0,9,1.003,26.42,2
1023,1,39,32,20,9,1.009,26.72,2
1024,2,130,26,0,9,1.04,28.96,8
1025,1,0,0,0,9,0.997,28.1,2
1026,1,54,27,20,9,0.989,27.24,3
1027,1,20,10,10,9,0.985,28.42,3
1028,1,11,7,0,9,0.98,30.95,2
1029,2,24,15,0,9,0.985,32.51,5
1030,1,21,10,0,9,0.987,31.14,2
1031,2,0,0,0,9,1.015,31.4,1
1032,1,48,10,0,9,0.987,35.64,2
1033,2,0,0,0,9,1.005,39.69,6
1034,2,163,42,0,9,0.985,33.29,3
1035,2,10,0,0,9,0.98,33.31,2
1036,2,65,10,0,9,0.993,33.8,7
1037,1,12,7,0,9,0.987,30.79,2
1038,1,30,16,0,9,0.991,28.64,5
1039,1,42,31,0,9,0.981,27.67,2
1040,1,38,15,0,9,0.993,27.51,5
1041,1,15,9,0,9,1.011,27.88,2
1042,1,34,8,0,9,1.024,27.4,2
1043,2,42,0,0,9,1.01,27.04,2
1044,2,37,18,0,9,1.017,28.03,8
1045,1,22,15,0,9,0.993,29.61,2
1046,1,5,3,0,9,0.991,32.3,2
1047,2,23,16,0,9,1.001,24.44,4
1048,2,38,25,0,9,0.971,21.69,3
1049,2,31,26,20,9,0.965,20.57,5
1050,1,43,16,0,9,0.962,20.32,3
1051,2,50,12,6,9,0.952,17.53,2
1052,1,2,1,0,9,0.967,19.38,2
1053,1,8,3,0,9,0.967,18.93,2
1054,2,39,30,6,9,0.973,18.09,4
1055,2,0,0,0,9,0.98,19.74,1
1056,2,68,13,0,9,0.975,14.99,1
1057,2,6,0,0,9,0.993,13.74,2
1058,1,8,3,0,9,0.96,14.46,2
1059,1,22,7,0,9,0.96,14.46,2
1060,2,184,0,0,9,1.005,27.12,1
1061,1,20,8,0,9,0.974,10.67,1
1062,1,33,15,0,9,0.949,21.92,2
